id	term	t1	t2	t3	term_uri	trsp	defn	abbr	trns	usg	see	syn	antonym	src	address	phone
	อ	อ					สระตัวที่ ในภาษาสันสกฤต									
	อา	อา					สระตัวที่ ในภาษาสันสกฤต									
	อิ	อิ					สระตัวที่ ในภาษาสันสกฤต									
	อี	อี					สระตัวที่ ในภาษาสันสกฤต									
	อุ	อุ					สระตัวที่ ในภาษาสันสกฤต									
	อู	อู					สระตัวที่ ในภาษาสันสกฤต									
	ฤ	ฤ					สระตัวที่ ในภาษาสันสกฤต									
	ฦ	ฦ					สระตัวที่ ในภาษาสันสกฤต									
	เอ	เอ					สระตัวที่ ในภาษาสันสกฤต									
	ไอ	ไอ					สระตัวที่ ในภาษาสันสกฤต									
	โอ	โอ					สระตัวที่ ในภาษาสันสกฤต									
	เอา	เอา					สระตัวที่ ในภาษาสันสกฤต									
	ก	ก					พยัญชนะตัวที่ ในภาษาสันสกฤต									
	ข	ข					พยัญชนะตัวที่ ในภาษาสันสกฤต									
	ค	ค					พยัญชนะตัวที่ ในภาษาสันสกฤต									
	ฆ	ฆ					พยัญชนะตัวที่ ในภาษาสันสกฤต									
	ง	ง					พยัญชนะตัวที่ ในภาษาสันสกฤต									
	จ	จ					พยัญชนะตัวที่ ในภาษาสันสกฤต									
	ฉ	ฉ					พยัญชนะตัวที่ ในภาษาสันสกฤต									
	ช	ช					พยัญชนะตัวที่ ในภาษาสันสกฤต									
	ฌ	ฌ					พยัญชนะตัวที่ ในภาษาสันสกฤต									
	ญ	ญ					พยัญชนะตัวที่ ในภาษาสันสกฤต									
	ฏ	ฏ					พยัญชนะตัวที่ ในภาษาสันสกฤต									
	ฐ	ฐ					พยัญชนะตัวที่ ในภาษาสันสกฤต									
	ฑ	ฑ					พยัญชนะตัวที่ ในภาษาสันสกฤต									
	ฒ	ฒ					พยัญชนะตัวที่ ในภาษาสันสกฤต									
	ณ	ณ					พยัญชนะตัวที่ ในภาษาสันสกฤต									
	ต	ต					พยัญชนะตัวที่ ในภาษาสันสกฤต									
	ถ	ถ					พยัญชนะตัวที่ ในภาษาสันสกฤต									
	ท	ท					พยัญชนะตัวที่ ในภาษาสันสกฤต									
	ธ	ธ					พยัญชนะตัวที่ ในภาษาสันสกฤต									
	น	น					พยัญชนะตัวที่ ในภาษาสันสกฤต									
	ป	ป					พยัญชนะตัวที่ ในภาษาสันสกฤต									
	ผ	ผ					พยัญชนะตัวที่ ในภาษาสันสกฤต									
	พ	พ					พยัญชนะตัวที่ ในภาษาสันสกฤต									
	ภ	ภ					พยัญชนะตัวที่ ในภาษาสันสกฤต									
	ม	ม					พยัญชนะตัวที่ ในภาษาสันสกฤต									
	ย	ย					พยัญชนะตัวที่ ในภาษาสันสกฤต									
	ร	ร					พยัญชนะตัวที่ ในภาษาสันสกฤต																	
	ล	ล					พยัญชนะตัวที่ ในภาษาสันสกฤต									
	ว	ว					พยัญชนะตัวที่ ในภาษาสันสกฤต									
	ศ	ศ					พยัญชนะตัวที่ ในภาษาสันสกฤต									
	ษ	ษ					พยัญชนะตัวที่ ในภาษาสันสกฤต									
	ส	ส					พยัญชนะตัวที่ ในภาษาสันสกฤต									
	ห	ห					พยัญชนะตัวที่ ในภาษาสันสกฤต									
	ฬ	ฬ					พยัญชนะตัวที่ ในภาษาสันสกฤต									
